,,,,,,,,,,,,inference_time
0,0,0,0,0,0,0,0,0,0,0,0,0.679727793
0,0,0,0,0,0,0,0,0,0,0,1,0.686099052
0,0,0,0,0,0,0,0,0,0,1,0,0.685323715
0,0,0,0,0,0,0,0,0,0,1,1,0.721997499
0,0,0,0,0,0,0,0,0,1,0,0,0.722137213
0,0,0,0,0,0,0,0,0,1,0,1,0.680427313
0,0,0,0,0,0,0,0,0,1,1,0,0.678666592
0,0,0,0,0,0,0,0,0,1,1,1,0.679200411
0,0,0,0,0,0,0,0,1,0,0,0,0.719348669
0,0,0,0,0,0,0,0,1,0,0,1,0.6765728
0,0,0,0,0,0,0,0,1,0,1,0,0.67714119
0,0,0,0,0,0,0,0,1,0,1,1,0.684752941
0,0,0,0,0,0,0,0,1,1,0,0,0.680116177
0,0,0,0,0,0,0,0,1,1,0,1,0.682921886
0,0,0,0,0,0,0,0,1,1,1,0,0.678163767
0,0,0,0,0,0,0,0,1,1,1,1,0.687161684
0,0,0,0,0,0,0,1,0,0,0,0,0.684743166
0,0,0,0,0,0,0,1,0,0,0,1,0.684296608
0,0,0,0,0,0,0,1,0,0,1,0,0.678321123
0,0,0,0,0,0,0,1,0,0,1,1,0.682817936
0,0,0,0,0,0,0,1,0,1,0,0,0.746605635
0,0,0,0,0,0,0,1,0,1,0,1,0.679578781
0,0,0,0,0,0,0,1,0,1,1,0,0.690286875
0,0,0,0,0,0,0,1,0,1,1,1,0.681088686
0,0,0,0,0,0,0,1,1,0,0,0,0.68322587
0,0,0,0,0,0,0,1,1,0,0,1,0.685519695
0,0,0,0,0,0,0,1,1,0,1,0,0.685671806
0,0,0,0,0,0,0,1,1,0,1,1,0.678761959
0,0,0,0,0,0,0,1,1,1,0,0,0.681742668
0,0,0,0,0,0,0,1,1,1,0,1,0.678607225
0,0,0,0,0,0,0,1,1,1,1,0,0.683238983
0,0,0,0,0,0,0,1,1,1,1,1,0.685159206
0,0,0,0,0,0,1,0,0,0,0,0,0.773221016
0,0,0,0,0,0,1,0,0,0,0,1,0.82490921
0,0,0,0,0,0,1,0,0,0,1,0,0.795548916
0,0,0,0,0,0,1,0,0,0,1,1,0.768572807
0,0,0,0,0,0,1,0,0,1,0,0,0.775713444
0,0,0,0,0,0,1,0,0,1,0,1,0.778589249
0,0,0,0,0,0,1,0,0,1,1,0,0.772469282
0,0,0,0,0,0,1,0,0,1,1,1,0.768241167
0,0,0,0,0,0,1,0,1,0,0,0,0.769845724
0,0,0,0,0,0,1,0,1,0,0,1,0.775096416
0,0,0,0,0,0,1,0,1,0,1,0,0.767696619
0,0,0,0,0,0,1,0,1,0,1,1,0.795979738
0,0,0,0,0,0,1,0,1,1,0,0,0.767129183
0,0,0,0,0,0,1,0,1,1,0,1,0.771241188
0,0,0,0,0,0,1,0,1,1,1,0,0.779308558
0,0,0,0,0,0,1,0,1,1,1,1,0.769656658
0,0,0,0,0,0,1,1,0,0,0,0,0.772666693
0,0,0,0,0,0,1,1,0,0,0,1,0.770467043
0,0,0,0,0,0,1,1,0,0,1,0,0.767145872
0,0,0,0,0,0,1,1,0,0,1,1,0.776654482
0,0,0,0,0,0,1,1,0,1,0,0,0.765623093
0,0,0,0,0,0,1,1,0,1,0,1,0.76640439
0,0,0,0,0,0,1,1,0,1,1,0,0.766621113
0,0,0,0,0,0,1,1,0,1,1,1,0.824228764
0,0,0,0,0,0,1,1,1,0,0,0,0.769860268
0,0,0,0,0,0,1,1,1,0,0,1,0.784695864
0,0,0,0,0,0,1,1,1,0,1,0,0.765697002
0,0,0,0,0,0,1,1,1,0,1,1,0.764695883
0,0,0,0,0,0,1,1,1,1,0,0,0.770427465
0,0,0,0,0,0,1,1,1,1,0,1,0.769929409
0,0,0,0,0,0,1,1,1,1,1,0,0.775338173
0,0,0,0,0,0,1,1,1,1,1,1,0.769091368
0,0,0,0,0,1,0,0,0,0,0,0,2.245741129
0,0,0,0,0,1,0,0,0,0,0,1,2.217191219
0,0,0,0,0,1,0,0,0,0,1,0,2.2161448
0,0,0,0,0,1,0,0,0,0,1,1,2.214912415
0,0,0,0,0,1,0,0,0,1,0,0,2.260195732
0,0,0,0,0,1,0,0,0,1,0,1,2.309950113
0,0,0,0,0,1,0,0,0,1,1,0,2.217695951
0,0,0,0,0,1,0,0,0,1,1,1,2.293209076
0,0,0,0,0,1,0,0,1,0,0,0,2.22892046
0,0,0,0,0,1,0,0,1,0,0,1,2.222343206
0,0,0,0,0,1,0,0,1,0,1,0,2.262811661
0,0,0,0,0,1,0,0,1,0,1,1,2.221230745
0,0,0,0,0,1,0,0,1,1,0,0,2.249137163
0,0,0,0,0,1,0,0,1,1,0,1,2.219914675
0,0,0,0,0,1,0,0,1,1,1,0,2.23410511
0,0,0,0,0,1,0,0,1,1,1,1,2.313635588
0,0,0,0,0,1,0,1,0,0,0,0,2.375635624
0,0,0,0,0,1,0,1,0,0,0,1,2.221657276
0,0,0,0,0,1,0,1,0,0,1,0,2.218573093
0,0,0,0,0,1,0,1,0,0,1,1,2.323084116
0,0,0,0,0,1,0,1,0,1,0,0,2.229148149
0,0,0,0,0,1,0,1,0,1,0,1,2.257510662
0,0,0,0,0,1,0,1,0,1,1,0,2.224617958
0,0,0,0,0,1,0,1,0,1,1,1,2.259456635
0,0,0,0,0,1,0,1,1,0,0,0,2.291176558
0,0,0,0,0,1,0,1,1,0,0,1,2.217236996
0,0,0,0,0,1,0,1,1,0,1,0,2.223225117
0,0,0,0,0,1,0,1,1,0,1,1,2.230614901
0,0,0,0,0,1,0,1,1,1,0,0,2.282569408
0,0,0,0,0,1,0,1,1,1,0,1,2.229480505
0,0,0,0,0,1,0,1,1,1,1,0,2.249277353
0,0,0,0,0,1,0,1,1,1,1,1,2.262032509
0,0,0,0,0,1,1,0,0,0,0,0,2.828541517
0,0,0,0,0,1,1,0,0,0,0,1,2.831100702
0,0,0,0,0,1,1,0,0,0,1,0,2.979200363
0,0,0,0,0,1,1,0,0,0,1,1,2.846333027
0,0,0,0,0,1,1,0,0,1,0,0,2.84406662
0,0,0,0,0,1,1,0,0,1,0,1,2.876016378
