,,,,,,,,,,,,inference_time
0,0,0,0,0,0,0,0,0,0,0,0,0.754074335
0,0,0,0,0,0,0,0,0,0,0,1,0.753936291
0,0,0,0,0,0,0,0,0,0,1,0,0.752385139
0,0,0,0,0,0,0,0,0,0,1,1,0.751878262
0,0,0,0,0,0,0,0,0,1,0,0,0.753621101
0,0,0,0,0,0,0,0,0,1,0,1,0.752740145
0,0,0,0,0,0,0,0,0,1,1,0,0.75092268
0,0,0,0,0,0,0,0,0,1,1,1,0.753446817
0,0,0,0,0,0,0,0,1,0,0,0,0.751140118
0,0,0,0,0,0,0,0,1,0,0,1,0.745286226
0,0,0,0,0,0,0,0,1,0,1,0,0.758438349
0,0,0,0,0,0,0,0,1,0,1,1,0.755557299
0,0,0,0,0,0,0,0,1,1,0,0,0.753328323
0,0,0,0,0,0,0,0,1,1,0,1,0.749345303
0,0,0,0,0,0,0,0,1,1,1,0,0.752251625
0,0,0,0,0,0,0,0,1,1,1,1,0.753036261
0,0,0,0,0,0,0,1,0,0,0,0,0.752339363
0,0,0,0,0,0,0,1,0,0,0,1,0.750568867
0,0,0,0,0,0,0,1,0,0,1,0,0.746831656
0,0,0,0,0,0,0,1,0,0,1,1,0.746978045
0,0,0,0,0,0,0,1,0,1,0,0,0.751072168
0,0,0,0,0,0,0,1,0,1,0,1,0.751964092
0,0,0,0,0,0,0,1,0,1,1,0,0.752413988
0,0,0,0,0,0,0,1,0,1,1,1,0.749506712
0,0,0,0,0,0,0,1,1,0,0,0,0.752099037
0,0,0,0,0,0,0,1,1,0,0,1,0.752708673
0,0,0,0,0,0,0,1,1,0,1,0,0.753712416
0,0,0,0,0,0,0,1,1,0,1,1,0.755678415
0,0,0,0,0,0,0,1,1,1,0,0,0.754803419
0,0,0,0,0,0,0,1,1,1,0,1,0.753417015
0,0,0,0,0,0,0,1,1,1,1,0,0.752834082
0,0,0,0,0,0,0,1,1,1,1,1,0.752597094
0,0,0,0,0,0,1,0,0,0,0,0,0.854955435
0,0,0,0,0,0,1,0,0,0,0,1,0.85898304
0,0,0,0,0,0,1,0,0,0,1,0,0.852948189
0,0,0,0,0,0,1,0,0,0,1,1,0.853163481
0,0,0,0,0,0,1,0,0,1,0,0,0.850178719
0,0,0,0,0,0,1,0,0,1,0,1,0.851059198
0,0,0,0,0,0,1,0,0,1,1,0,0.843588114
0,0,0,0,0,0,1,0,0,1,1,1,0.843363762
0,0,0,0,0,0,1,0,1,0,0,0,0.850974798
0,0,0,0,0,0,1,0,1,0,0,1,0.85170269
0,0,0,0,0,0,1,0,1,0,1,0,0.84982276
0,0,0,0,0,0,1,0,1,0,1,1,0.851900339
0,0,0,0,0,0,1,0,1,1,0,0,0.844281435
0,0,0,0,0,0,1,0,1,1,0,1,0.850526094
0,0,0,0,0,0,1,0,1,1,1,0,0.84413147
0,0,0,0,0,0,1,0,1,1,1,1,0.84548378
0,0,0,0,0,0,1,1,0,0,0,0,0.854381561
0,0,0,0,0,0,1,1,0,0,0,1,0.852276087
0,0,0,0,0,0,1,1,0,0,1,0,0.851598501
0,0,0,0,0,0,1,1,0,0,1,1,0.848517656
0,0,0,0,0,0,1,1,0,1,0,0,0.846971989
0,0,0,0,0,0,1,1,0,1,0,1,0.844485044
0,0,0,0,0,0,1,1,0,1,1,0,0.844377756
0,0,0,0,0,0,1,1,0,1,1,1,0.845301628
0,0,0,0,0,0,1,1,1,0,0,0,0.840099573
0,0,0,0,0,0,1,1,1,0,0,1,0.839730501
0,0,0,0,0,0,1,1,1,0,1,0,0.849321127
0,0,0,0,0,0,1,1,1,0,1,1,0.845776558
0,0,0,0,0,0,1,1,1,1,0,0,0.850248575
0,0,0,0,0,0,1,1,1,1,0,1,0.849064112
0,0,0,0,0,0,1,1,1,1,1,0,0.848515511
0,0,0,0,0,0,1,1,1,1,1,1,0.847541094
0,0,0,0,0,1,0,0,0,0,0,0,2.436014891
0,0,0,0,0,1,0,0,0,0,0,1,2.447472095
0,0,0,0,0,1,0,0,0,0,1,0,2.446561098
0,0,0,0,0,1,0,0,0,0,1,1,2.440932751
0,0,0,0,0,1,0,0,0,1,0,0,2.42844367
0,0,0,0,0,1,0,0,0,1,0,1,2.446840048
0,0,0,0,0,1,0,0,0,1,1,0,2.437277794
0,0,0,0,0,1,0,0,0,1,1,1,2.424697161
0,0,0,0,0,1,0,0,1,0,0,0,2.428193808
0,0,0,0,0,1,0,0,1,0,0,1,2.442816973
0,0,0,0,0,1,0,0,1,0,1,0,2.43884182
0,0,0,0,0,1,0,0,1,0,1,1,2.446011782
0,0,0,0,0,1,0,0,1,1,0,0,2.428459644
0,0,0,0,0,1,0,0,1,1,0,1,2.432487488
0,0,0,0,0,1,0,0,1,1,1,0,2.427301884
0,0,0,0,0,1,0,0,1,1,1,1,2.434273243
0,0,0,0,0,1,0,1,0,0,0,0,2.421966791
0,0,0,0,0,1,0,1,0,0,0,1,2.432176352
0,0,0,0,0,1,0,1,0,0,1,0,2.433356047
0,0,0,0,0,1,0,1,0,0,1,1,2.440679073
0,0,0,0,0,1,0,1,0,1,0,0,2.437168121
0,0,0,0,0,1,0,1,0,1,0,1,2.453601599
0,0,0,0,0,1,0,1,0,1,1,0,2.430927753
0,0,0,0,0,1,0,1,0,1,1,1,2.433062553
0,0,0,0,0,1,0,1,1,0,0,0,2.447249174
0,0,0,0,0,1,0,1,1,0,0,1,2.432775021
0,0,0,0,0,1,0,1,1,0,1,0,2.454318523
0,0,0,0,0,1,0,1,1,0,1,1,2.442474842
0,0,0,0,0,1,0,1,1,1,0,0,2.433843374
0,0,0,0,0,1,0,1,1,1,0,1,2.416021824
0,0,0,0,0,1,0,1,1,1,1,0,2.422389746
0,0,0,0,0,1,0,1,1,1,1,1,2.430322647
0,0,0,0,0,1,1,0,0,0,0,0,3.104961157
0,0,0,0,0,1,1,0,0,0,0,1,3.124457121
0,0,0,0,0,1,1,0,0,0,1,0,3.129518747
0,0,0,0,0,1,1,0,0,0,1,1,3.129887342
0,0,0,0,0,1,1,0,0,1,0,0,3.108973503
