root,multiAccept,sendfile,compression,noCompression,serverCache,keepalive,basicAuth,tls,ecdsaCertificate,aesTls,tlsMoreBits,tcpNoDelay,tcpNoPush,compressionLevel,performance
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2.859
1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3.0554
1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2.9164
1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2.9382
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2.6502
1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2.6272
1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,2.6014
1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,2.7152
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3.5916
1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,3.443
1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,3.9
1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,3.336
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,3.017
1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,2.9048
1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,3.0416
1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,2.8842
1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,18.0848
1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,18.5084
1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,18.227
1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,18.0726
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,17.9734
1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,17.0508
1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,17.842
1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,18.4748
1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,17.9082
1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,18.8622
1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,19.0208
1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,18.3536
1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,18.0214
1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,17.4532
1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,17.8194
1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,17.069
1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,21.2136
1,1,0,1,0,0,0,1,0,0,0,0,0,0,5,20.1314
1,1,0,1,0,0,0,1,0,0,0,0,0,0,9,20.9354
1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,21.0602
1,1,0,1,0,0,0,1,0,0,0,0,0,1,5,20.8298
1,1,0,1,0,0,0,1,0,0,0,0,0,1,9,20.355
1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,20.237
1,1,0,1,0,0,0,1,0,0,0,0,1,0,5,20.4856
1,1,0,1,0,0,0,1,0,0,0,0,1,0,9,21.5768
1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,20.1054
1,1,0,1,0,0,0,1,0,0,0,0,1,1,5,20.8564
1,1,0,1,0,0,0,1,0,0,0,0,1,1,9,19.1842
1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,18.5052
1,1,0,1,0,1,0,1,0,0,0,0,0,0,5,21.2156
1,1,0,1,0,1,0,1,0,0,0,0,0,0,9,20.4692
1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,21.098
1,1,0,1,0,1,0,1,0,0,0,0,0,1,5,19.8204
1,1,0,1,0,1,0,1,0,0,0,0,0,1,9,20.083
1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,19.1896
1,1,0,1,0,1,0,1,0,0,0,0,1,0,5,20.0804
1,1,0,1,0,1,0,1,0,0,0,0,1,0,9,21.5154
1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,19.9016
1,1,0,1,0,1,0,1,0,0,0,0,1,1,5,21.651
1,1,0,1,0,1,0,1,0,0,0,0,1,1,9,21.2006
1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,19.8296
1,1,1,1,0,0,0,1,0,0,0,0,0,0,5,21.0868
1,1,1,1,0,0,0,1,0,0,0,0,0,0,9,20.5458
1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,20.9754
1,1,1,1,0,0,0,1,0,0,0,0,0,1,5,21.2756
1,1,1,1,0,0,0,1,0,0,0,0,0,1,9,21.8788
1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,20.3622
1,1,1,1,0,0,0,1,0,0,0,0,1,0,5,21.2348
1,1,1,1,0,0,0,1,0,0,0,0,1,0,9,21.7408
1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,19.4818
1,1,1,1,0,0,0,1,0,0,0,0,1,1,5,20.4806
1,1,1,1,0,0,0,1,0,0,0,0,1,1,9,21.5846
1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,20.4412
1,1,1,1,0,1,0,1,0,0,0,0,0,0,5,21.327
1,1,1,1,0,1,0,1,0,0,0,0,0,0,9,20.5838
1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,19.5128
1,1,1,1,0,1,0,1,0,0,0,0,0,1,5,20.3768
1,1,1,1,0,1,0,1,0,0,0,0,0,1,9,21.4962
1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,18.4252
1,1,1,1,0,1,0,1,0,0,0,0,1,0,5,21.1496
1,1,1,1,0,1,0,1,0,0,0,0,1,0,9,21.0446
1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,20.5698
1,1,1,1,0,1,0,1,0,0,0,0,1,1,5,21.2782
1,1,1,1,0,1,0,1,0,0,0,0,1,1,9,19.9236
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2.0606
1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2.0578
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2.0618
1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2.0932
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2.0898
1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2.0582
1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,2.0604
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,2.059
1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2.3582
1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2.2928
1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,2.3664
1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,2.291
1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2.3546
1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,2.2926
1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,2.3652
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,2.2882
1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2.0586
1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2.0586
1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2.1044
1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2.059
1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,2.0576
1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,2.0566
1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,2.0584
1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,2.0568
1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2.3572
1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,2.2918
1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,2.3638
1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,2.2894
1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,2.356
1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,2.2924
1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,2.3676
1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,2.2914
1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,17.3946
1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,17.3426
1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,17.056
1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,17.1478
1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,16.2754
1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,16.612
1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,17.0486
1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,16.4256
1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,17.0636
1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,16.8266
1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,16.9956
1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,17.1432
1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,16.4992
1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,17.11
1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,17.4522
1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,17.364
1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,15.9604
1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,16.6034
1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,16.2638
1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,16.2178
1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,16.3406
1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,16.6074
1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,16.8126
1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,16.5324
1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,16.5818
1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,16.907
1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,17.0072
1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,16.682
1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,16.5768
1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,17.2258
1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,16.1906
1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,15.9302
1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,393.7852
1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,395.7918
1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,393.3094
1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,394.871
1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,390.0688
1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,397.8418
1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,400.0788
1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,390.7578
1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,395.2012
1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,392.6996
1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,392.0014
1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,393.675
1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,400.671
1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,400.5706
1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,392.2302
1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,393.6204
1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,399.5146
1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,400.559
1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,401.3972
1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,401.0906
1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,398.8936
1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,400.0976
1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,399.1952
1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,400.0182
1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,399.704
1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,399.348
1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,406.451
1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,407.958
1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,406.5996
1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,404.4138
1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,405.3886
1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,407.3614
1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,390.278
1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,392.1866
1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,395.3912
1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,390.0598
1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,391.7492
1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,391.2846
1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,405.5918
1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,399.3342
1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,400.2482
1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,395.6436
1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,390.049
1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,392.8108
1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,394.759
1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,394.1386
1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,395.3678
1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,390.9684
1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,393.3136
1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,398.2432
1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,398.7688
1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,397.9892
1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,394.1624
1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,394.7448
1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,392.6734
1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,394.9504
