root,opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,performance
1,0,0,0,0,0,1,0,0,0,0,9374.6
1,0,0,0,0,0,0,1,0,0,0,8280.8
1,0,0,0,0,0,0,2,0,0,0,8261
1,0,0,0,0,0,0,3,0,0,0,8106.2
1,0,0,0,0,0,0,4,0,0,0,8109.2
1,0,0,0,0,0,0,1,8,0,0,10079.2
1,0,0,0,0,0,0,2,8,0,0,10262.2
1,0,0,0,0,0,0,3,8,0,0,9309.8
1,0,0,0,0,0,0,4,8,0,0,9277
1,0,0,0,0,0,0,1,10,0,0,9640.6
1,0,0,0,0,0,0,2,10,0,0,9146.8
1,0,0,0,0,0,0,3,10,0,0,8839.2
1,0,0,0,0,0,0,4,10,0,0,8880
1,0,0,0,0,0,0,1,16,0,0,8967.4
1,0,0,0,0,0,0,2,16,0,0,8661.2
1,0,0,0,0,0,0,3,16,0,0,7931.4
1,0,0,0,0,0,0,4,16,0,0,7878.2
1,0,0,0,0,0,0,1,20,0,0,8764.6
1,0,0,0,0,0,0,2,20,0,0,8065.4
1,0,0,0,0,0,0,3,20,0,0,7625.6
1,0,0,0,0,0,0,4,20,0,0,7575.6
1,0,0,0,0,0,0,1,32,0,0,8426.2
1,0,0,0,0,0,0,2,32,0,0,7786.8
1,0,0,0,0,0,0,3,32,0,0,7117.6
1,0,0,0,0,0,0,4,32,0,0,7082.2
1,0,0,0,0,0,0,1,64,0,0,9085.4
1,0,0,0,0,0,0,2,64,0,0,9536.4
1,0,0,0,0,0,0,3,64,0,0,7455.2
1,0,0,0,0,0,0,4,64,0,0,8570.2
1,0,0,0,0,0,0,1,128,0,0,9444
1,0,0,0,0,0,0,2,128,0,0,9809.8
1,0,0,0,0,0,0,3,128,0,0,8777.8
1,0,0,0,0,0,0,4,128,0,0,9329.4
1,0,0,0,0,0,0,1,0,8,0,6169.8
1,0,0,0,0,0,0,2,0,8,0,6113.4
1,0,0,0,0,0,0,3,0,8,0,5954.6
1,0,0,0,0,0,0,4,0,8,0,5959.8
1,0,0,0,0,0,0,1,8,8,0,16846.2
1,0,0,0,0,0,0,2,8,8,0,16442.8
1,0,0,0,0,0,0,3,8,8,0,15364.6
1,0,0,0,0,0,0,4,8,8,0,15296.8
1,0,0,0,0,0,0,1,10,8,0,15202.8
1,0,0,0,0,0,0,2,10,8,0,14634.4
1,0,0,0,0,0,0,3,10,8,0,13972.8
1,0,0,0,0,0,0,4,10,8,0,13697.4
1,0,0,0,0,0,0,1,16,8,0,12680.2
1,0,0,0,0,0,0,2,16,8,0,12087.6
1,0,0,0,0,0,0,3,16,8,0,11279.2
1,0,0,0,0,0,0,4,16,8,0,11244.8
1,0,0,0,0,0,0,1,20,8,0,11879.4
1,0,0,0,0,0,0,2,20,8,0,11514.6
1,0,0,0,0,0,0,3,20,8,0,10631.2
1,0,0,0,0,0,0,4,20,8,0,10504
1,0,0,0,0,0,0,1,32,8,0,10797.6
1,0,0,0,0,0,0,2,32,8,0,10173.4
1,0,0,0,0,0,0,3,32,8,0,9552.8
1,0,0,0,0,0,0,4,32,8,0,9394.8
1,0,0,0,0,0,0,1,64,8,0,9711.4
1,0,0,0,0,0,0,2,64,8,0,9175.8
1,0,0,0,0,0,0,3,64,8,0,8503.4
1,0,0,0,0,0,0,4,64,8,0,8409.2
1,0,0,0,0,0,0,1,128,8,0,8141.4
1,0,0,0,0,0,0,2,128,8,0,7812
1,0,0,0,0,0,0,3,128,8,0,7425.2
1,0,0,0,0,0,0,4,128,8,0,7397.4
1,0,0,0,0,0,0,1,0,10,0,6590.4
1,0,0,0,0,0,0,2,0,10,0,6547.4
1,0,0,0,0,0,0,3,0,10,0,6181.6
1,0,0,0,0,0,0,4,0,10,0,6179.2
1,0,0,0,0,0,0,1,8,10,0,16104.4
1,0,0,0,0,0,0,2,8,10,0,15331.6
1,0,0,0,0,0,0,3,8,10,0,14594.2
1,0,0,0,0,0,0,4,8,10,0,14360
1,0,0,0,0,0,0,1,10,10,0,14683.8
1,0,0,0,0,0,0,2,10,10,0,14009.4
1,0,0,0,0,0,0,3,10,10,0,13222.6
1,0,0,0,0,0,0,4,10,10,0,12843.8
1,0,0,0,0,0,0,1,16,10,0,12665.2
1,0,0,0,0,0,0,2,16,10,0,11835
1,0,0,0,0,0,0,3,16,10,0,11225.6
1,0,0,0,0,0,0,4,16,10,0,10884.6
1,0,0,0,0,0,0,1,20,10,0,12001.6
1,0,0,0,0,0,0,2,20,10,0,11581
1,0,0,0,0,0,0,3,20,10,0,10621.4
1,0,0,0,0,0,0,4,20,10,0,10268.4
1,0,0,0,0,0,0,1,32,10,0,11055.6
1,0,0,0,0,0,0,2,32,10,0,10190.4
1,0,0,0,0,0,0,3,32,10,0,9614.6
1,0,0,0,0,0,0,4,32,10,0,9334.2
1,0,0,0,0,0,0,1,64,10,0,10154
