root,opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,performance
1,0,0,0,0,0,1,0,0,0,0,9326.8
1,0,0,0,0,0,0,1,0,0,0,8318.8
1,0,0,0,0,0,0,2,0,0,0,8329.6
1,0,0,0,0,0,0,3,0,0,0,8057.6
1,0,0,0,0,0,0,4,0,0,0,8127
1,0,0,0,0,0,0,1,8,0,0,10963
1,0,0,0,0,0,0,2,8,0,0,10859.6
1,0,0,0,0,0,0,3,8,0,0,8572.2
1,0,0,0,0,0,0,4,8,0,0,8509.6
1,0,0,0,0,0,0,1,10,0,0,10604.4
1,0,0,0,0,0,0,2,10,0,0,10549.8
1,0,0,0,0,0,0,3,10,0,0,8251.6
1,0,0,0,0,0,0,4,10,0,0,8207.8
1,0,0,0,0,0,0,1,16,0,0,9508
1,0,0,0,0,0,0,2,16,0,0,9387.2
1,0,0,0,0,0,0,3,16,0,0,7564.6
1,0,0,0,0,0,0,4,16,0,0,7536.8
1,0,0,0,0,0,0,1,20,0,0,9132.6
1,0,0,0,0,0,0,2,20,0,0,8369
1,0,0,0,0,0,0,3,20,0,0,7288.4
1,0,0,0,0,0,0,4,20,0,0,7224.2
1,0,0,0,0,0,0,1,32,0,0,8634.6
1,0,0,0,0,0,0,2,32,0,0,8523
1,0,0,0,0,0,0,3,32,0,0,6916.6
1,0,0,0,0,0,0,4,32,0,0,6885.2
1,0,0,0,0,0,0,1,64,0,0,9102.4
1,0,0,0,0,0,0,2,64,0,0,9952.2
1,0,0,0,0,0,0,3,64,0,0,7326.6
1,0,0,0,0,0,0,4,64,0,0,8362.2
1,0,0,0,0,0,0,1,128,0,0,9408.8
1,0,0,0,0,0,0,2,128,0,0,9888.2
1,0,0,0,0,0,0,3,128,0,0,8886.2
1,0,0,0,0,0,0,4,128,0,0,9464.6
1,0,0,0,0,0,0,1,0,8,0,6300.4
1,0,0,0,0,0,0,2,0,8,0,6346
1,0,0,0,0,0,0,3,0,8,0,5880.2
1,0,0,0,0,0,0,4,0,8,0,5994.4
1,0,0,0,0,0,0,1,8,8,0,19332.8
1,0,0,0,0,0,0,2,8,8,0,19707.8
1,0,0,0,0,0,0,3,8,8,0,16073
1,0,0,0,0,0,0,4,8,8,0,16233.4
1,0,0,0,0,0,0,1,10,8,0,17556
1,0,0,0,0,0,0,2,10,8,0,17862.4
1,0,0,0,0,0,0,3,10,8,0,14679.6
1,0,0,0,0,0,0,4,10,8,0,14600.4
1,0,0,0,0,0,0,1,16,8,0,13205.4
1,0,0,0,0,0,0,2,16,8,0,12967.6
1,0,0,0,0,0,0,3,16,8,0,11424.2
1,0,0,0,0,0,0,4,16,8,0,11353.2
1,0,0,0,0,0,0,1,20,8,0,12306.6
1,0,0,0,0,0,0,2,20,8,0,11918.4
1,0,0,0,0,0,0,3,20,8,0,10737.6
1,0,0,0,0,0,0,4,20,8,0,10530
1,0,0,0,0,0,0,1,32,8,0,11078
1,0,0,0,0,0,0,2,32,8,0,10864.4
1,0,0,0,0,0,0,3,32,8,0,9509.2
1,0,0,0,0,0,0,4,32,8,0,9383.2
1,0,0,0,0,0,0,1,64,8,0,9888.6
1,0,0,0,0,0,0,2,64,8,0,9854.6
1,0,0,0,0,0,0,3,64,8,0,8573.4
1,0,0,0,0,0,0,4,64,8,0,8478.6
1,0,0,0,0,0,0,1,128,8,0,8160
1,0,0,0,0,0,0,2,128,8,0,8182.4
1,0,0,0,0,0,0,3,128,8,0,7416.8
1,0,0,0,0,0,0,4,128,8,0,7400.4
1,0,0,0,0,0,0,1,0,10,0,6772.8
1,0,0,0,0,0,0,2,0,10,0,6808.6
1,0,0,0,0,0,0,3,0,10,0,6111.2
1,0,0,0,0,0,0,4,0,10,0,6242.4
1,0,0,0,0,0,0,1,8,10,0,18857.4
1,0,0,0,0,0,0,2,8,10,0,18759.8
1,0,0,0,0,0,0,3,8,10,0,15038.4
1,0,0,0,0,0,0,4,8,10,0,14978.8
1,0,0,0,0,0,0,1,10,10,0,17357.2
1,0,0,0,0,0,0,2,10,10,0,17325
1,0,0,0,0,0,0,3,10,10,0,13784.6
1,0,0,0,0,0,0,4,10,10,0,13690.2
1,0,0,0,0,0,0,1,16,10,0,13265
1,0,0,0,0,0,0,2,16,10,0,12831.6
1,0,0,0,0,0,0,3,16,10,0,11080.4
1,0,0,0,0,0,0,4,16,10,0,10857.8
1,0,0,0,0,0,0,1,20,10,0,12558.4
1,0,0,0,0,0,0,2,20,10,0,11778.8
1,0,0,0,0,0,0,3,20,10,0,10513.6
1,0,0,0,0,0,0,4,20,10,0,10210.8
1,0,0,0,0,0,0,1,32,10,0,11424.6
1,0,0,0,0,0,0,2,32,10,0,11091.2
1,0,0,0,0,0,0,3,32,10,0,9479.4
1,0,0,0,0,0,0,4,32,10,0,9247.6
1,0,0,0,0,0,0,1,64,10,0,10350
1,0,0,0,0,0,0,2,64,10,0,10218.6
1,0,0,0,0,0,0,3,64,10,0,8612.2
1,0,0,0,0,0,0,4,64,10,0,8513
1,0,0,0,0,0,0,1,128,10,0,8511.8
1,0,0,0,0,0,0,2,128,10,0,8486.8
1,0,0,0,0,0,0,3,128,10,0,7497.6
1,0,0,0,0,0,0,4,128,10,0,7465.8
1,0,0,0,0,0,0,1,0,16,0,6185.2
1,0,0,0,0,0,0,2,0,16,0,6213
1,0,0,0,0,0,0,3,0,16,0,5575.2
1,0,0,0,0,0,0,4,0,16,0,5652.8
1,0,0,0,0,0,0,1,8,16,0,14584.4
1,0,0,0,0,0,0,2,8,16,0,14638.2
1,0,0,0,0,0,0,3,8,16,0,11716.8
1,0,0,0,0,0,0,4,8,16,0,11802
1,0,0,0,0,0,0,1,10,16,0,13832
1,0,0,0,0,0,0,2,10,16,0,13684.8
1,0,0,0,0,0,0,3,10,16,0,10999
1,0,0,0,0,0,0,4,10,16,0,10953.6
1,0,0,0,0,0,0,1,16,16,0,11224.6
1,0,0,0,0,0,0,2,16,16,0,10840
1,0,0,0,0,0,0,3,16,16,0,9356.2
1,0,0,0,0,0,0,4,16,16,0,9079.6
1,0,0,0,0,0,0,1,20,16,0,10697.2
1,0,0,0,0,0,0,2,20,16,0,10016.8
1,0,0,0,0,0,0,3,20,16,0,8953
1,0,0,0,0,0,0,4,20,16,0,8605.2
1,0,0,0,0,0,0,1,32,16,0,9763.4
1,0,0,0,0,0,0,2,32,16,0,9549.6
1,0,0,0,0,0,0,3,32,16,0,8132.2
1,0,0,0,0,0,0,4,32,16,0,7976
1,0,0,0,0,0,0,1,64,16,0,8881.8
1,0,0,0,0,0,0,2,64,16,0,8852
1,0,0,0,0,0,0,3,64,16,0,7491
1,0,0,0,0,0,0,4,64,16,0,7447.2
1,0,0,0,0,0,0,1,128,16,0,7563
1,0,0,0,0,0,0,2,128,16,0,7532.2
1,0,0,0,0,0,0,3,128,16,0,6607.8
1,0,0,0,0,0,0,4,128,16,0,6599.6
1,0,0,0,0,0,0,1,0,20,0,6142.6
1,0,0,0,0,0,0,2,0,20,0,6158
1,0,0,0,0,0,0,3,0,20,0,5480.8
1,0,0,0,0,0,0,4,0,20,0,5547
1,0,0,0,0,0,0,1,8,20,0,13731.6
1,0,0,0,0,0,0,2,8,20,0,13627.2
1,0,0,0,0,0,0,3,8,20,0,10922.2
1,0,0,0,0,0,0,4,8,20,0,10981.6
1,0,0,0,0,0,0,1,10,20,0,12863.4
1,0,0,0,0,0,0,2,10,20,0,12902.6
1,0,0,0,0,0,0,3,10,20,0,10376.4
1,0,0,0,0,0,0,4,10,20,0,10316
1,0,0,0,0,0,0,1,16,20,0,11016
1,0,0,0,0,0,0,2,16,20,0,10560
1,0,0,0,0,0,0,3,16,20,0,9095.8
1,0,0,0,0,0,0,4,16,20,0,8712.8
1,0,0,0,0,0,0,1,20,20,0,10448
1,0,0,0,0,0,0,2,20,20,0,9668.8
1,0,0,0,0,0,0,3,20,20,0,8640.4
1,0,0,0,0,0,0,4,20,20,0,8303.6
1,0,0,0,0,0,0,1,32,20,0,9557.2
1,0,0,0,0,0,0,2,32,20,0,9332.4
1,0,0,0,0,0,0,3,32,20,0,7851.2
1,0,0,0,0,0,0,4,32,20,0,7689.6
1,0,0,0,0,0,0,1,64,20,0,8692.6
1,0,0,0,0,0,0,2,64,20,0,8635.8
1,0,0,0,0,0,0,3,64,20,0,7246
1,0,0,0,0,0,0,4,64,20,0,7381
1,0,0,0,0,0,0,1,128,20,0,7378.6
1,0,0,0,0,0,0,2,128,20,0,7340.4
1,0,0,0,0,0,0,3,128,20,0,6429
1,0,0,0,0,0,0,4,128,20,0,6413.4
1,0,0,0,0,0,0,1,0,32,0,6054.8
1,0,0,0,0,0,0,2,0,32,0,6082.2
1,0,0,0,0,0,0,3,0,32,0,5345.8
1,0,0,0,0,0,0,4,0,32,0,5388.8
1,0,0,0,0,0,0,1,8,32,0,12659.6
1,0,0,0,0,0,0,2,8,32,0,12362.2
1,0,0,0,0,0,0,3,8,32,0,10052.8
1,0,0,0,0,0,0,4,8,32,0,9940.2
1,0,0,0,0,0,0,1,10,32,0,12111.6
1,0,0,0,0,0,0,2,10,32,0,11819.6
1,0,0,0,0,0,0,3,10,32,0,9616.4
1,0,0,0,0,0,0,4,10,32,0,9435.2
1,0,0,0,0,0,0,1,16,32,0,10461
1,0,0,0,0,0,0,2,16,32,0,10114
1,0,0,0,0,0,0,3,16,32,0,8483
1,0,0,0,0,0,0,4,16,32,0,8232
1,0,0,0,0,0,0,1,20,32,0,9906
1,0,0,0,0,0,0,2,20,32,0,9191.4
1,0,0,0,0,0,0,3,20,32,0,8068.6
1,0,0,0,0,0,0,4,20,32,0,7841.4
1,0,0,0,0,0,0,1,32,32,0,9103.2
1,0,0,0,0,0,0,2,32,32,0,8901
1,0,0,0,0,0,0,3,32,32,0,7404.2
1,0,0,0,0,0,0,4,32,32,0,7245.8
1,0,0,0,0,0,0,1,64,32,0,8375.2
1,0,0,0,0,0,0,2,64,32,0,8256.8
1,0,0,0,0,0,0,3,64,32,0,6858.2
1,0,0,0,0,0,0,4,64,32,0,6765.8
1,0,0,0,0,0,0,1,128,32,0,7156.6
1,0,0,0,0,0,0,2,128,32,0,7075
1,0,0,0,0,0,0,3,128,32,0,6307
1,0,0,0,0,0,0,4,128,32,0,6260.4
1,0,0,0,0,0,0,1,0,64,0,6100.4
1,0,0,0,0,0,0,2,0,64,0,6120
1,0,0,0,0,0,0,3,0,64,0,5416.2
1,0,0,0,0,0,0,4,0,64,0,5470
1,0,0,0,0,0,0,1,8,64,0,11884.4
1,0,0,0,0,0,0,2,8,64,0,11588.8
1,0,0,0,0,0,0,3,8,64,0,9379.8
1,0,0,0,0,0,0,4,8,64,0,9111
1,0,0,0,0,0,0,1,10,64,0,11373.6
1,0,0,0,0,0,0,2,10,64,0,11126.6
1,0,0,0,0,0,0,3,10,64,0,8939.2
1,0,0,0,0,0,0,4,10,64,0,8738.2
1,0,0,0,0,0,0,1,16,64,0,9911.6
1,0,0,0,0,0,0,2,16,64,0,9696.6
1,0,0,0,0,0,0,3,16,64,0,7936.6
1,0,0,0,0,0,0,4,16,64,0,7764.8
1,0,0,0,0,0,0,1,20,64,0,9431.6
1,0,0,0,0,0,0,2,20,64,0,8714.6
1,0,0,0,0,0,0,3,20,64,0,7553
1,0,0,0,0,0,0,4,20,64,0,7402.4
1,0,0,0,0,0,0,1,32,64,0,8751.2
1,0,0,0,0,0,0,2,32,64,0,8532.8
1,0,0,0,0,0,0,3,32,64,0,6995.8
1,0,0,0,0,0,0,4,32,64,0,6845.6
1,0,0,0,0,0,0,1,64,64,0,8338.2
1,0,0,0,0,0,0,2,64,64,0,8032.2
1,0,0,0,0,0,0,3,64,64,0,6629.8
1,0,0,0,0,0,0,4,64,64,0,6439.4
1,0,0,0,0,0,0,1,128,64,0,7056.4
1,0,0,0,0,0,0,2,128,64,0,6867.8
1,0,0,0,0,0,0,3,128,64,0,6170.6
1,0,0,0,0,0,0,4,128,64,0,6061
1,0,0,0,0,0,0,1,0,128,0,7605.4
1,0,0,0,0,0,0,2,0,128,0,7683.4
1,0,0,0,0,0,0,3,0,128,0,7218.2
1,0,0,0,0,0,0,4,0,128,0,7313.4
1,0,0,0,0,0,0,1,8,128,0,11387.4
1,0,0,0,0,0,0,2,8,128,0,11143.8
1,0,0,0,0,0,0,3,8,128,0,8956
1,0,0,0,0,0,0,4,8,128,0,8763
1,0,0,0,0,0,0,1,10,128,0,10925.6
1,0,0,0,0,0,0,2,10,128,0,10737.6
1,0,0,0,0,0,0,3,10,128,0,8579.6
1,0,0,0,0,0,0,4,10,128,0,8436.8
1,0,0,0,0,0,0,1,16,128,0,9635.8
1,0,0,0,0,0,0,2,16,128,0,9467.2
1,0,0,0,0,0,0,3,16,128,0,7692.8
1,0,0,0,0,0,0,4,16,128,0,7550.4
1,0,0,0,0,0,0,1,20,128,0,9228.8
1,0,0,0,0,0,0,2,20,128,0,8452.8
1,0,0,0,0,0,0,3,20,128,0,7335.8
1,0,0,0,0,0,0,4,20,128,0,7222.4
1,0,0,0,0,0,0,1,32,128,0,8657.2
1,0,0,0,0,0,0,2,32,128,0,8424.6
1,0,0,0,0,0,0,3,32,128,0,6863.6
1,0,0,0,0,0,0,4,32,128,0,6719.8
1,0,0,0,0,0,0,1,64,128,0,8317.2
1,0,0,0,0,0,0,2,64,128,0,7973.4
1,0,0,0,0,0,0,3,64,128,0,6898.8
1,0,0,0,0,0,0,4,64,128,0,6463.8
1,0,0,0,0,0,0,1,128,128,0,7662.4
1,0,0,0,0,0,0,2,128,128,0,7059.4
1,0,0,0,0,0,0,3,128,128,0,6408
1,0,0,0,0,0,0,4,128,128,0,6235.6
1,0,0,0,0,0,0,1,0,0,8,8318.6
1,0,0,0,0,0,0,2,0,0,8,8325.2
1,0,0,0,0,0,0,3,0,0,8,8060.8
1,0,0,0,0,0,0,4,0,0,8,8133
1,0,0,0,0,0,0,1,8,0,8,10520.6
1,0,0,0,0,0,0,2,8,0,8,10296.2
1,0,0,0,0,0,0,3,8,0,8,7501.2
1,0,0,0,0,0,0,4,8,0,8,7473
1,0,0,0,0,0,0,1,10,0,8,10396.8
1,0,0,0,0,0,0,2,10,0,8,10285
1,0,0,0,0,0,0,3,10,0,8,7469.4
1,0,0,0,0,0,0,4,10,0,8,7521.6
1,0,0,0,0,0,0,1,16,0,8,8348.8
1,0,0,0,0,0,0,2,16,0,8,8852.6
1,0,0,0,0,0,0,3,16,0,8,6938.2
1,0,0,0,0,0,0,4,16,0,8,7359
1,0,0,0,0,0,0,1,20,0,8,8451.4
1,0,0,0,0,0,0,2,20,0,8,8445.4
1,0,0,0,0,0,0,3,20,0,8,7008.2
1,0,0,0,0,0,0,4,20,0,8,7380.8
1,0,0,0,0,0,0,1,32,0,8,8609
